hip_tyc_id,xrayrefs,irrefs,xray,ir
TYC 4164-274-1,,,False,False
TYC 3471-333-1,,,False,False
TYC 3480-1209-1,,,False,False
HIP 69650,,,False,False
TYC 3489-1148-1,,,False,False
TYC 3470-485-1,,,False,False
TYC 3851-336-1,,,False,False
TYC 3868-177-1,,,False,False
TYC 3867-127-1,,,False,False
HIP 72389,,,False,False
TYC 3851-369-1,,,False,False
TYC 3490-1083-1,,,False,False
HIP 73730,,,False,False
TYC 3471-233-1,,,False,False
TYC 3486-1405-1,,,False,False
TYC 3860-1483-1,,,False,False
TYC 3877-725-1,,,False,False
HIP 71911,,,False,False
TYC 4174-1117-1,,,False,False
TYC 4173-609-1,,,False,False
HIP 74458,,,False,False
TYC 3867-1373-1,,,False,False
TYC 3867-281-1,,,False,False
HIP 68637,,,False,False
TYC 3875-762-1,,,False,False
TYC 3850-257-1,1,,True,False
HIP 63702,,2,False,True
TYC 4180-573-1,,2,False,True
HIP 66198,,2,False,True
HIP 69275,,2,False,True
HIP 75449,,2,False,True
TYC 3851-600-1,"1,3,4,5",3,True,True
TYC 3861-1374-1,,2,False,True
TYC 3865-934-1,,,False,False
HIP 67231,,2,False,True
HIP 69917,,2,False,True
HIP 78958,,2,False,True
TYC 3869-656-1,1,2,True,True
HIP 69958,,2,False,True
HIP 77903,,2,False,True
TYC 3496-1082-1,6,"2,6",True,True
TYC 3497-1053-1,7,2,True,True
TYC 3867-2-1,,2,False,True
HIP 67005,,"2,8,9,10,11",False,True
HIP 69721,,"2,11",False,True
